α: 0.5378360715639461, weights: {'N': 6, 'B': 7, 'R': 3, 'Q': 8, 'P': 1, 'K': 0}, won: 34 
α: 0.6380956917135143, weights: {'N': 6, 'B': 9, 'R': 5, 'Q': 7, 'P': 1, 'K': 0}, won: 34 
α: 0.8470178270897338, weights: {'N': 9, 'B': 3, 'R': 6, 'Q': 7, 'P': 1, 'K': 0}, won: 34 
α: 0.9804371568998345, weights: {'N': 6, 'B': 9, 'R': 3, 'Q': 8, 'P': 1, 'K': 0}, won: 33 
α: 0.8986953987026255, weights: {'N': 5, 'B': 8, 'R': 5, 'Q': 6, 'P': 1, 'K': 0}, won: 33 
α: 0.5423769066878993, weights: {'N': 5, 'B': 6, 'R': 8, 'Q': 5, 'P': 1, 'K': 0}, won: 32 
α: 0.9477677939059884, weights: {'N': 5, 'B': 4, 'R': 4, 'Q': 4, 'P': 1, 'K': 0}, won: 32 
α: 0.6786469816865153, weights: {'N': 6, 'B': 9, 'R': 9, 'Q': 4, 'P': 1, 'K': 0}, won: 32 
α: 0.37470386575360803, weights: {'N': 4, 'B': 4, 'R': 7, 'Q': 6, 'P': 1, 'K': 0}, won: 31 
α: 0.8717890805838974, weights: {'N': 8, 'B': 3, 'R': 4, 'Q': 9, 'P': 1, 'K': 0}, won: 31 
α: 0.9292211661259795, weights: {'N': 9, 'B': 3, 'R': 6, 'Q': 3, 'P': 1, 'K': 0}, won: 30 
α: 0.7317080341855737, weights: {'N': 4, 'B': 9, 'R': 9, 'Q': 5, 'P': 1, 'K': 0}, won: 30 
α: 0.7598121317443375, weights: {'N': 4, 'B': 3, 'R': 4, 'Q': 5, 'P': 1, 'K': 0}, won: 28 
α: 0.6912305490943439, weights: {'N': 7, 'B': 4, 'R': 5, 'Q': 8, 'P': 1, 'K': 0}, won: 27 
α: 0.7556184485983308, weights: {'N': 3, 'B': 4, 'R': 4, 'Q': 9, 'P': 1, 'K': 0}, won: 26 
